mode,num_ctx,depth_pct,found,prompt_tokens
single,65536,0,True,37396
single,65536,10,True,37396
single,65536,25,True,37396
single,65536,50,True,37396
single,65536,75,True,37396
single,65536,90,True,37396
single,65536,100,True,37396
multi,65536,,3,37443
single,131072,0,True,74791
single,131072,10,True,74791
single,131072,25,True,74791
single,131072,50,True,74791
single,131072,75,True,74791
single,131072,90,True,74791
single,131072,100,True,74791
multi,131072,,3,74838
single,262144,0,True,149536
single,262144,10,True,149536
single,262144,25,True,149536
single,262144,50,True,149536
single,262144,75,True,149536
single,262144,90,True,149536
single,262144,100,True,149536
multi,262144,,2,149583
